User;Text;Opniao;Date
PedroAn11225445;RT @benebarbosa_mvb: @monicabergamo Não vi vocês reclamando quando o Choque foi colocado para proteger a Folha de São Paulo dos baderneiros…;Neutro;Sun Jun 02 15:11:20 +0000 2019
LuSapori;"@senadorhumberto Duas merdas: PT e Folha de São Paulo.  

Em breve não existirá nenhum .";Negativo;Sun Jun 02 15:04:00 +0000 2019
igadelha;Segundo a Folha de São Paulo, o empreiteiro relatou à Lava Jato que o chefe da ORCRIM pressionou-o pessoalmente a c… https://t.co/KdCvO6OrUU;Neutro;Sun Jun 02 15:01:20 +0000 2019
jandir_filho;"RT @LuSapori: Pag Seguro da Folha de São Paulo? Não, obrigada! 
#SenadoAprovaMP871 https://t.co/Nx4TdQUJSA";;Sun Jun 02 14:55:43 +0000 2019
RegisCL1;"@Estadao @EstadaoPolitica E já dei print pra rir depois.

""Bolsonaro isenta cidadãos de EUA, Austrália, Canadá e Ja… https://t.co/pFlZowys8D";Neutro;Sun Jun 02 14:52:14 +0000 2019
DalvanQueiroz_;Nelson Barbosa para a coluna painel da Folha de São Paulo. https://t.co/3PmmCafFYF;;Sun Jun 02 14:37:28 +0000 2019
Vanessajunior8;@pauloganime É só a folha de são paulo,nenhuma novidade.;;Sun Jun 02 14:34:20 +0000 2019
erico_simas;@Captamefala1 @DeputadoFederal @jairbolsonaro Ué virou juiz agora?? Já condenou a família inteira? Até mesmo uma mi… https://t.co/bo1Lt7F4cR;;Sun Jun 02 14:26:56 +0000 2019
barbosaelis51;RT @lemos7_nanda: Ele encarou: a Globo, a folha de São Paulo, reitores esquerdista, a classe artística privilegiada. Ele encarou o sistema…;;Sun Jun 02 14:26:44 +0000 2019
DuFacchioli;"RT @professorigor: @leandroruschel 62 mil homicidios por ano no Brasil

Para o PT, Psol e Folha de São Paulo importam apenas:

Marielle
252…";Irrelevante;Sun Jun 02 14:19:14 +0000 2019
Daniel52994714;@UOLNoticias UOL, O Globo ,folha de São Paulo, isto é, vocês estão sem credibilidade não entenderam ainda ?O povo a… https://t.co/jGPa3gKQWS;;Sun Jun 02 14:19:14 +0000 2019
24BrasilNoticia;São João de Campina Grande é destaque na Folha de São Paulo https://t.co/Z5wgnympHl https://t.co/mQmVx8vUO4;;Sun Jun 02 14:17:16 +0000 2019
bileski31;@folha O folha de São Paulo não melhor se preocupar com os desafios e melhorias na pré escola onde a vida de conhec… https://t.co/f5fQKQ6hfr;;Sun Jun 02 14:11:38 +0000 2019
LuSapori;"Pag Seguro da Folha de São Paulo? Não, obrigada! 
#SenadoAprovaMP871 https://t.co/Nx4TdQUJSA";;Sun Jun 02 14:08:10 +0000 2019
JulioCe31010224;@ECantanhede Haaa.... que maravilha! Outro jornaleco  porcaria querendo lacrar! Folha de São  Paulo, BBC Brasil, Es… https://t.co/lwqwMopxby;Irrelevante;Sun Jun 02 14:06:35 +0000 2019
CleberAugusto10;"RT @professorigor: 62 mil homicidios por ano no Brasil

Para o PT, Psol e Folha de São Paulo importam apenas:

Marielle
252 vagabundos mort…";;Sun Jun 02 13:59:47 +0000 2019
JulioCe70646518;"@MessiasAlair @CarlosBolsonaro Cheque suas fontes abiguinho... 
Está assistindo: Globo, folha de são Paulo, veja etc...? Kkkkk";;Sun Jun 02 13:52:24 +0000 2019
RLeonccio;@blogdeprimeira_ Lembro de um artigo na Folha de São Paulo em 2003...falando dele (Rodrigo Bueno escreveu)...16 ano… https://t.co/w9eLIVEITD;;Sun Jun 02 13:42:16 +0000 2019
cleberlr75;"RT @mmarescast: A ordem vindo da autoridade máxima, como não obedecer? Tá limpo!

""Em Anápolis (GO), presidente incentivou caminhoneiros a…";;Fri May 31 23:40:27 +0000 2019
abreu_leonardo;@jornalnacional Em breve veremos o fim da Globo e da Folha de São Paulo.;Negativo;Fri May 31 23:39:45 +0000 2019
alexrosa;RT @alexrosa: Está sendo melancólico o fim da Folha de São Paulo, um ex-jornal que já foi relevante. Há anos se transformou num panfleto a…;Negativo;Fri May 31 23:39:36 +0000 2019
cesa_silvia;RT @cesarinicarlos: @BlogDoPim Felipe assim como o Villa não tá na hora ou já passou da hora de você encaminhar a Vera Magalhães para a Fol…;;Fri May 31 23:18:16 +0000 2019
BrasillNoticias;RT @MatheuszLimaa: Bolsonaro denuncia Fakes News ,Globo ,Folha de São Paulo e desmente jornalista!?????????? #GloboLixo #Globo #GlovoNosMata #fo…;;Fri May 31 23:04:26 +0000 2019
